====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-11 17:24:21
  Platform: Windows 11
====================================================================================================

[17:24:21.787] [INIT] Server starting...
[17:24:21.787] [INIT] Platform: Windows
[17:24:21.789] [INIT] Arduino connected: False
[17:38:35.949] [INFO] Quest 3 connected from 10.201.149.105
[17:38:35.950] [INFO] Active connections: 1
[17:38:47.029] [MODE] MODE 1 ACTIVATED: Manual Control
[17:42:06.629] [TRACK] Mode 4 tracking: X=111.6cm, Z=-53.1cm, Heading=291.8°
[17:42:07.236] [TRACK] Mode 4 tracking: X=108.8cm, Z=-53.1cm, Heading=292.8°
[17:42:07.883] [TRACK] Mode 4 tracking: X=102.3cm, Z=-53.7cm, Heading=292.8°
[17:42:08.627] [TRACK] Mode 4 tracking: X=92.5cm, Z=-53.2cm, Heading=292.6°
[17:42:10.167] [TRACK] Mode 4 tracking: X=85.7cm, Z=-52.3cm, Heading=291.2°
[17:42:14.235] [TRACK] Mode 4 tracking: X=-9.5cm, Z=-31.4cm, Heading=285.8°
[17:42:14.446] [TRACK] Mode 4 tracking: X=-48.8cm, Z=-5.1cm, Heading=284.0°
[17:42:16.726] [TRACK] Mode 4 tracking: X=-20.2cm, Z=-6.4cm, Heading=278.1°
[17:42:18.090] [TRACK] Mode 4 tracking: X=-23.6cm, Z=6.6cm, Heading=271.0°
[17:42:23.826] [TRACK] Mode 4 tracking: X=26.3cm, Z=-61.0cm, Heading=309.7°
[17:42:24.845] [TRACK] Mode 4 tracking: X=25.7cm, Z=-60.9cm, Heading=325.1°
[17:42:25.233] [TRACK] Mode 4 tracking: X=25.4cm, Z=-60.7cm, Heading=333.5°
[17:42:28.829] [TRACK] Mode 4 tracking: X=9.8cm, Z=-45.6cm, Heading=337.9°
[17:42:31.843] [TRACK] Mode 4 tracking: X=-14.3cm, Z=-20.9cm, Heading=335.6°
[17:42:32.441] [TRACK] Mode 4 tracking: X=-14.3cm, Z=-20.7cm, Heading=337.0°
[17:42:35.027] [TRACK] Mode 4 tracking: X=-14.2cm, Z=-20.3cm, Heading=31.3°
[17:42:37.455] [TRACK] Mode 4 tracking: X=-14.0cm, Z=-19.8cm, Heading=38.7°
[17:42:39.426] [TRACK] Mode 4 tracking: X=-13.8cm, Z=-19.1cm, Heading=79.0°
