"";"cluster";"source";"target";"size"
"138";1;"04-BEVERAGES";"43-MEAL REPLACEMENTS";194
"139";1;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";193
"140";4;"04-BEVERAGES";"43-MEAL REPLACEMENTS";188
"141";2;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";185
"142";2;"10-MILK";"11-ICE CREAM";183
"143";2;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";183
"144";4;"03-SNACKS";"11-ICE CREAM";181
"145";2;"04-BEVERAGES";"26-COMMUNICATION";179
"146";5;"21-PUBLICATIONS";"56-LOCAL ITEMS";179
"147";3;"10-MILK";"26-COMMUNICATION";176
"148";3;"02-CONFECTIONERY";"56-LOCAL ITEMS";174
"149";3;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";172
"150";5;"10-MILK";"56-LOCAL ITEMS";172
"151";1;"10-MILK";"56-LOCAL ITEMS";171
"152";3;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";171
"153";3;"10-MILK";"32-FOODSERVICE PREPARED ON-SITE";171
"154";5;"32-FOODSERVICE PREPARED ON-SITE";"56-LOCAL ITEMS";169
"155";4;"10-MILK";"21-PUBLICATIONS";164
"156";1;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";162
"157";4;"10-MILK";"11-ICE CREAM";160
"158";4;"08-BREAD";"10-MILK";158
"159";5;"02-CONFECTIONERY";"11-ICE CREAM";157
"160";2;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";155
"161";1;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";155
"162";5;"02-CONFECTIONERY";"56-LOCAL ITEMS";153
"163";3;"02-CONFECTIONERY";"26-COMMUNICATION";152
"164";5;"02-CONFECTIONERY";"09-BAKERY";152
"165";3;"02-CONFECTIONERY";"21-PUBLICATIONS";151
"166";4;"04-BEVERAGES";"56-LOCAL ITEMS";151
"167";1;"02-CONFECTIONERY";"56-LOCAL ITEMS";150
"168";2;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";148
"169";2;"04-BEVERAGES";"18-AUTOMOTIVE";148
"170";4;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";146
"171";4;"02-CONFECTIONERY";"21-PUBLICATIONS";146
"172";3;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";146
"173";1;"04-BEVERAGES";"26-COMMUNICATION";142
"174";5;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";141
"175";2;"02-CONFECTIONERY";"56-LOCAL ITEMS";140
"176";5;"04-BEVERAGES";"21-PUBLICATIONS";136
"177";3;"03-SNACKS";"11-ICE CREAM";136
"178";4;"04-BEVERAGES";"26-COMMUNICATION";136
"179";2;"09-BAKERY";"56-LOCAL ITEMS";136
"180";2;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";135
"181";2;"03-SNACKS";"11-ICE CREAM";132
"182";2;"09-BAKERY";"21-PUBLICATIONS";132
"183";2;"04-BEVERAGES";"99-SYSTEM";131
"184";3;"04-BEVERAGES";"18-AUTOMOTIVE";131
"185";3;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";130
"186";1;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";127
"187";4;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";126
"188";4;"03-SNACKS";"43-MEAL REPLACEMENTS";125
"189";2;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";125
"190";3;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";124
"191";1;"02-CONFECTIONERY";"08-BREAD";123
"192";3;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";122
"193";1;"04-BEVERAGES";"18-AUTOMOTIVE";122
"194";1;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";121
"195";3;"09-BAKERY";"21-PUBLICATIONS";120
"196";5;"04-BEVERAGES";"99-SYSTEM";120
"197";2;"05-CHILLED PERISHABLES";"43-MEAL REPLACEMENTS";118
"198";5;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";117
"199";4;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";117
"200";2;"01-GROCERY FOOD";"04-BEVERAGES";115
"201";5;"04-BEVERAGES";"45-ALTERNATE BUSINESS – TAKEAWAY";115
"202";1;"04-BEVERAGES";"08-BREAD";114
"203";1;"01-GROCERY FOOD";"10-MILK";114
"204";4;"04-BEVERAGES";"18-AUTOMOTIVE";113
"205";3;"01-GROCERY FOOD";"10-MILK";113
"206";3;"04-BEVERAGES";"08-BREAD";113
"207";2;"12-CIGARETTES/TOBACCO";"26-COMMUNICATION";112
"208";2;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";112
"209";2;"09-BAKERY";"43-MEAL REPLACEMENTS";110
"210";5;"05-CHILLED PERISHABLES";"10-MILK";109
"211";3;"01-GROCERY FOOD";"04-BEVERAGES";108
"212";1;"01-GROCERY FOOD";"04-BEVERAGES";108
"213";3;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";107
"214";1;"03-SNACKS";"43-MEAL REPLACEMENTS";107
"215";2;"21-PUBLICATIONS";"56-LOCAL ITEMS";106
"216";1;"09-BAKERY";"21-PUBLICATIONS";104
"217";1;"04-BEVERAGES";"13-GROCERY NON FOOD";103
"218";5;"02-CONFECTIONERY";"05-CHILLED PERISHABLES";102
"219";2;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";102
"220";5;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";101
"221";1;"09-BAKERY";"11-ICE CREAM";101
"222";1;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";101
"223";4;"09-BAKERY";"21-PUBLICATIONS";100
"224";1;"03-SNACKS";"56-LOCAL ITEMS";100
"225";4;"10-MILK";"32-FOODSERVICE PREPARED ON-SITE";98
"226";1;"12-CIGARETTES/TOBACCO";"26-COMMUNICATION";98
"227";2;"03-SNACKS";"43-MEAL REPLACEMENTS";97
"228";3;"04-BEVERAGES";"07-ICE";96
"229";4;"09-BAKERY";"43-MEAL REPLACEMENTS";95
"230";2;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";95
"231";2;"10-MILK";"14-HEALTH AND BEAUTY";95
"232";3;"09-BAKERY";"56-LOCAL ITEMS";94
"233";4;"01-GROCERY FOOD";"04-BEVERAGES";94
"234";4;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";94
"235";2;"04-BEVERAGES";"07-ICE";94
"236";2;"12-CIGARETTES/TOBACCO";"43-MEAL REPLACEMENTS";93
"237";3;"10-MILK";"14-HEALTH AND BEAUTY";93
"238";3;"09-BAKERY";"11-ICE CREAM";92
"239";3;"12-CIGARETTES/TOBACCO";"43-MEAL REPLACEMENTS";91
"240";3;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";90
"241";3;"04-BEVERAGES";"13-GROCERY NON FOOD";90
"242";2;"10-MILK";"43-MEAL REPLACEMENTS";90
"243";2;"05-CHILLED PERISHABLES";"21-PUBLICATIONS";90
"244";5;"09-BAKERY";"56-LOCAL ITEMS";90
"245";2;"10-MILK";"26-COMMUNICATION";88
"246";4;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";88
"247";1;"09-BAKERY";"56-LOCAL ITEMS";88
"248";5;"09-BAKERY";"12-CIGARETTES/TOBACCO";87
"249";5;"04-BEVERAGES";"44-TAKE AWAY FOOD PREPARED";87
"250";5;"10-MILK";"11-ICE CREAM";87
"251";2;"02-CONFECTIONERY";"26-COMMUNICATION";87
"252";2;"01-GROCERY FOOD";"10-MILK";87
"253";5;"10-MILK";"21-PUBLICATIONS";86
"254";3;"08-BREAD";"12-CIGARETTES/TOBACCO";86
"255";3;"04-BEVERAGES";"22-GENERAL MERCHANDISE";86
"256";1;"03-SNACKS";"08-BREAD";85
"257";3;"09-BAKERY";"43-MEAL REPLACEMENTS";85
"258";5;"10-MILK";"45-ALTERNATE BUSINESS – TAKEAWAY";85
"259";2;"12-CIGARETTES/TOBACCO";"14-HEALTH AND BEAUTY";85
"260";1;"04-BEVERAGES";"22-GENERAL MERCHANDISE";84
"261";4;"04-BEVERAGES";"99-SYSTEM";84
"262";4;"02-CONFECTIONERY";"56-LOCAL ITEMS";82
"263";1;"02-CONFECTIONERY";"13-GROCERY NON FOOD";81
"264";5;"04-BEVERAGES";"26-COMMUNICATION";81
"265";3;"02-CONFECTIONERY";"08-BREAD";81
"266";1;"01-GROCERY FOOD";"02-CONFECTIONERY";80
"267";1;"09-BAKERY";"43-MEAL REPLACEMENTS";80
"268";1;"02-CONFECTIONERY";"26-COMMUNICATION";80
"269";4;"09-BAKERY";"11-ICE CREAM";80
"270";4;"12-CIGARETTES/TOBACCO";"43-MEAL REPLACEMENTS";79
"271";2;"04-BEVERAGES";"08-BREAD";79
"272";1;"01-GROCERY FOOD";"03-SNACKS";79
"273";5;"03-SNACKS";"12-CIGARETTES/TOBACCO";78
"274";2;"09-BAKERY";"11-ICE CREAM";78
"275";1;"02-CONFECTIONERY";"99-SYSTEM";78
"276";3;"12-CIGARETTES/TOBACCO";"14-HEALTH AND BEAUTY";77
"277";4;"09-BAKERY";"56-LOCAL ITEMS";76
"278";4;"05-CHILLED PERISHABLES";"43-MEAL REPLACEMENTS";76
"279";1;"10-MILK";"26-COMMUNICATION";76
"280";1;"04-BEVERAGES";"99-SYSTEM";75
"281";4;"04-BEVERAGES";"08-BREAD";75
"282";1;"12-CIGARETTES/TOBACCO";"14-HEALTH AND BEAUTY";74
"283";1;"10-MILK";"13-GROCERY NON FOOD";74
"284";5;"03-SNACKS";"32-FOODSERVICE PREPARED ON-SITE";74
"285";4;"01-GROCERY FOOD";"10-MILK";74
"286";1;"10-MILK";"14-HEALTH AND BEAUTY";73
"287";1;"05-CHILLED PERISHABLES";"56-LOCAL ITEMS";73
"288";2;"02-CONFECTIONERY";"18-AUTOMOTIVE";73
"289";3;"03-SNACKS";"43-MEAL REPLACEMENTS";73
"290";1;"12-CIGARETTES/TOBACCO";"43-MEAL REPLACEMENTS";72
"291";3;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";72
"292";3;"10-MILK";"43-MEAL REPLACEMENTS";72
"293";3;"03-SNACKS";"56-LOCAL ITEMS";71
"294";3;"10-MILK";"13-GROCERY NON FOOD";71
"295";4;"01-GROCERY FOOD";"03-SNACKS";70
"296";3;"09-BAKERY";"26-COMMUNICATION";70
"297";1;"02-CONFECTIONERY";"18-AUTOMOTIVE";70
"298";2;"02-CONFECTIONERY";"99-SYSTEM";70
"299";5;"03-SNACKS";"09-BAKERY";69
"300";2;"05-CHILLED PERISHABLES";"32-FOODSERVICE PREPARED ON-SITE";69
"301";1;"08-BREAD";"12-CIGARETTES/TOBACCO";69
"302";1;"05-CHILLED PERISHABLES";"08-BREAD";69
"303";4;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";69
"304";5;"02-CONFECTIONERY";"21-PUBLICATIONS";68
"305";5;"05-CHILLED PERISHABLES";"32-FOODSERVICE PREPARED ON-SITE";67
"306";2;"10-MILK";"99-SYSTEM";66
"307";2;"02-CONFECTIONERY";"08-BREAD";66
"308";3;"02-CONFECTIONERY";"18-AUTOMOTIVE";66
"309";4;"02-CONFECTIONERY";"99-SYSTEM";66
"310";4;"02-CONFECTIONERY";"08-BREAD";66
"311";1;"03-SNACKS";"21-PUBLICATIONS";66
"312";2;"03-SNACKS";"21-PUBLICATIONS";65
"313";1;"05-CHILLED PERISHABLES";"43-MEAL REPLACEMENTS";65
"314";2;"04-BEVERAGES";"22-GENERAL MERCHANDISE";65
"315";3;"21-PUBLICATIONS";"56-LOCAL ITEMS";65
"316";5;"03-SNACKS";"56-LOCAL ITEMS";64
"317";4;"02-CONFECTIONERY";"26-COMMUNICATION";64
"318";1;"01-GROCERY FOOD";"05-CHILLED PERISHABLES";62
"319";1;"04-BEVERAGES";"32-FOODSERVICE PREPARED ON-SITE";62
"320";5;"08-BREAD";"10-MILK";62
"321";5;"03-SNACKS";"11-ICE CREAM";62
"322";4;"02-CONFECTIONERY";"18-AUTOMOTIVE";62
"323";4;"04-BEVERAGES";"44-TAKE AWAY FOOD PREPARED";62
"324";5;"04-BEVERAGES";"14-HEALTH AND BEAUTY";61
"325";2;"05-CHILLED PERISHABLES";"56-LOCAL ITEMS";61
"326";2;"21-PUBLICATIONS";"32-FOODSERVICE PREPARED ON-SITE";61
"327";1;"03-SNACKS";"14-HEALTH AND BEAUTY";60
"328";1;"05-CHILLED PERISHABLES";"11-ICE CREAM";60
"329";1;"10-MILK";"43-MEAL REPLACEMENTS";60
"330";2;"12-CIGARETTES/TOBACCO";"18-AUTOMOTIVE";59
"331";1;"05-CHILLED PERISHABLES";"21-PUBLICATIONS";59
"332";3;"02-CONFECTIONERY";"13-GROCERY NON FOOD";59
"333";3;"01-GROCERY FOOD";"02-CONFECTIONERY";59
"334";3;"12-CIGARETTES/TOBACCO";"13-GROCERY NON FOOD";59
"335";5;"44-TAKE AWAY FOOD PREPARED";"56-LOCAL ITEMS";58
"336";5;"21-PUBLICATIONS";"32-FOODSERVICE PREPARED ON-SITE";58
"337";3;"05-CHILLED PERISHABLES";"43-MEAL REPLACEMENTS";58
"338";3;"01-GROCERY FOOD";"12-CIGARETTES/TOBACCO";58
"339";4;"01-GROCERY FOOD";"02-CONFECTIONERY";58
"340";3;"05-CHILLED PERISHABLES";"32-FOODSERVICE PREPARED ON-SITE";57
"341";2;"01-GROCERY FOOD";"05-CHILLED PERISHABLES";57
"342";2;"10-MILK";"18-AUTOMOTIVE";56
"343";5;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";56
"344";1;"21-PUBLICATIONS";"56-LOCAL ITEMS";56
"345";5;"04-BEVERAGES";"43-MEAL REPLACEMENTS";55
"346";4;"04-BEVERAGES";"07-ICE";55
"347";4;"10-MILK";"56-LOCAL ITEMS";55
"348";1;"12-CIGARETTES/TOBACCO";"99-SYSTEM";54
"349";1;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";54
"350";2;"04-BEVERAGES";"13-GROCERY NON FOOD";54
"351";1;"04-BEVERAGES";"07-ICE";53
"352";3;"01-GROCERY FOOD";"03-SNACKS";53
"353";5;"32-FOODSERVICE PREPARED ON-SITE";"99-SYSTEM";53
"354";2;"01-GROCERY FOOD";"02-CONFECTIONERY";53
"355";4;"04-BEVERAGES";"13-GROCERY NON FOOD";53
"356";4;"12-CIGARETTES/TOBACCO";"26-COMMUNICATION";53
"357";2;"01-GROCERY FOOD";"03-SNACKS";53
"358";5;"10-MILK";"99-SYSTEM";52
"359";4;"10-MILK";"14-HEALTH AND BEAUTY";52
"360";1;"08-BREAD";"11-ICE CREAM";51
"361";5;"04-BEVERAGES";"18-AUTOMOTIVE";51
"362";5;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";51
"363";5;"02-CONFECTIONERY";"99-SYSTEM";51
"364";5;"05-CHILLED PERISHABLES";"09-BAKERY";51
"365";2;"03-SNACKS";"32-FOODSERVICE PREPARED ON-SITE";51
"366";2;"05-CHILLED PERISHABLES";"08-BREAD";51
"367";3;"12-CIGARETTES/TOBACCO";"18-AUTOMOTIVE";50
"368";1;"01-GROCERY FOOD";"12-CIGARETTES/TOBACCO";50
"369";1;"10-MILK";"18-AUTOMOTIVE";50
"370";4;"10-MILK";"43-MEAL REPLACEMENTS";50
"371";2;"12-CIGARETTES/TOBACCO";"99-SYSTEM";49
"372";3;"03-SNACKS";"32-FOODSERVICE PREPARED ON-SITE";49
"373";3;"10-MILK";"18-AUTOMOTIVE";49
"374";1;"02-CONFECTIONERY";"22-GENERAL MERCHANDISE";49
"375";1;"01-GROCERY FOOD";"08-BREAD";49
"376";5;"03-SNACKS";"05-CHILLED PERISHABLES";48
"377";2;"03-SNACKS";"56-LOCAL ITEMS";48
"378";2;"08-BREAD";"12-CIGARETTES/TOBACCO";48
"379";3;"05-CHILLED PERISHABLES";"56-LOCAL ITEMS";48
"380";1;"12-CIGARETTES/TOBACCO";"13-GROCERY NON FOOD";47
"381";2;"03-SNACKS";"14-HEALTH AND BEAUTY";47
"382";4;"03-SNACKS";"21-PUBLICATIONS";47
"383";4;"12-CIGARETTES/TOBACCO";"14-HEALTH AND BEAUTY";47
"384";3;"02-CONFECTIONERY";"22-GENERAL MERCHANDISE";46
"385";3;"08-BREAD";"09-BAKERY";46
"386";5;"04-BEVERAGES";"07-ICE";46
"387";2;"04-BEVERAGES";"44-TAKE AWAY FOOD PREPARED";46
"388";2;"09-BAKERY";"26-COMMUNICATION";46
"389";3;"03-SNACKS";"21-PUBLICATIONS";45
"390";3;"05-CHILLED PERISHABLES";"08-BREAD";45
"391";4;"03-SNACKS";"14-HEALTH AND BEAUTY";45
"392";4;"10-MILK";"26-COMMUNICATION";45
"393";2;"01-GROCERY FOOD";"12-CIGARETTES/TOBACCO";44
"394";4;"05-CHILLED PERISHABLES";"21-PUBLICATIONS";44
"395";4;"03-SNACKS";"08-BREAD";44
"396";3;"05-CHILLED PERISHABLES";"21-PUBLICATIONS";44
"397";4;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";43
"398";1;"11-ICE CREAM";"56-LOCAL ITEMS";43
"399";5;"32-FOODSERVICE PREPARED ON-SITE";"44-TAKE AWAY FOOD PREPARED";43
"400";4;"01-GROCERY FOOD";"05-CHILLED PERISHABLES";42
"401";2;"01-GROCERY FOOD";"09-BAKERY";42
"402";2;"10-MILK";"44-TAKE AWAY FOOD PREPARED";42
"403";2;"09-BAKERY";"99-SYSTEM";41
"404";4;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";41
"405";4;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";41
"406";2;"32-FOODSERVICE PREPARED ON-SITE";"56-LOCAL ITEMS";40
"407";4;"10-MILK";"18-AUTOMOTIVE";40
"408";3;"11-ICE CREAM";"56-LOCAL ITEMS";40
"409";5;"10-MILK";"44-TAKE AWAY FOOD PREPARED";40
"410";5;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";40
"411";3;"03-SNACKS";"14-HEALTH AND BEAUTY";39
"412";3;"01-GROCERY FOOD";"05-CHILLED PERISHABLES";39
"413";3;"03-SNACKS";"26-COMMUNICATION";39
"414";4;"09-BAKERY";"26-COMMUNICATION";38
"415";5;"04-BEVERAGES";"22-GENERAL MERCHANDISE";38
"416";4;"04-BEVERAGES";"22-GENERAL MERCHANDISE";38
"417";1;"12-CIGARETTES/TOBACCO";"18-AUTOMOTIVE";38
"418";2;"09-BAKERY";"14-HEALTH AND BEAUTY";37
"419";4;"09-BAKERY";"18-AUTOMOTIVE";37
"420";4;"02-CONFECTIONERY";"13-GROCERY NON FOOD";37
"421";1;"03-SNACKS";"13-GROCERY NON FOOD";36
"422";3;"07-ICE";"10-MILK";36
"423";3;"04-BEVERAGES";"99-SYSTEM";36
"424";4;"12-CIGARETTES/TOBACCO";"99-SYSTEM";36
"425";4;"03-SNACKS";"56-LOCAL ITEMS";36
"426";4;"12-CIGARETTES/TOBACCO";"18-AUTOMOTIVE";35
"427";4;"09-BAKERY";"14-HEALTH AND BEAUTY";35
