Input_Address,Output_Address,Input_Value,Output_Value
1DduUWf6yF2KsK9yuoheuJrUqpu67tNXb,13mZNXxr5aMUdXkYEDJFYL2HJYyx2Uo99j,30445000000,5000000
1GTzSgzuT282JUaybVCWq4STGGaNnFVFw8,1LtfQZaru1dLTaXmNB7ffc3uSNWsXPpihi,13000000,125000000
1BNjaULeLYdjBGLSjMAjqgtnRh4sR2Ybon,1PLkDfCbJ975ooov3QgBCchgTHoG2JFH5D,28000000,28000000
1P3Lg3nbEryT7YpSkFbyHfRiVTbn7khrnx,13wZknpKnQfQXbtMzAqsyQNNGqiSjx6nEi,5000000000,25001000000
1HFYi4TxxfXpP1vJeMkrw3EaDQZuMm1vn6,1ErVRyVCM742ia6oypygoAKGoZdNxDeeEp,3961000000,5000000
1AF3uFzGeMBBzbAokrjuMtdfhCkzBkQS1y,18iEXZXdeL5jeW1EZz6qf3GP3wAWgScRi5,3971000000,3966000000
18iEXZXdeL5jeW1EZz6qf3GP3wAWgScRi5,1HFYi4TxxfXpP1vJeMkrw3EaDQZuMm1vn6,3966000000,3961000000
1FLmzMPpxRmS9bJNzKQaqBQnsKLzMvTjWu,1Bvq97Yuy5zzW86M3t8xgSVnGBtsxvJxQF,36475000000,5000000
1xBqhiEiFnQwMcnYwcEZ2AZn8nCghNcmB,1HTkgMnMBg7TvN96RQmZg3DrDNEiMdPrwB,500000000,7559000000
1HsC7Uyneb7MjKG3FPaPY5WMMSS1hTPSe6,12pZoPygooJAGGzNJmsRQEd24nQEPz25jw,1000000,5002000000
1LUGTaJJtcA2aD9vrYFX49vUkq3pfWNzC8,12Hx5fRJjannvYVEhPxkArcHzV2kiya9nm,100000000,1850000000
1DPPvNZq9WqCwpsGLCDayJZAzqT8PzYriE,1Mimn2P5BQAaoduThV4bePmLd7p36gYZVf,2935000000,2930000000
1MXnt1Ueb8QjWJvVnsVLqE5Qm9nQebFcbq,15VjRaDX9zpbA8LVnbrCAFzrVzN7ixHNsC,5000000,5000000
1AcMaEgZGEJkYbNqVS4KAGmkL6JPPdoeZQ,194ZNT7DDWRZtnfrHD5mDMgzk8cT7CkvG,2243000000,5000000
1NqgEaBdkbkMn1w5zPBbdnQwA295GfwE7X,15N87cyjJXCgCVcVdsb7ejVCbcUx1tFvda,33965000000,33960000000
1MwCweq2ohZ4QoubZfHkA1KjoCe8uUnWbw,1CWXj744rN6Wy6Sfq1q3GprWM3TeyfEjgh,3879570000,5000000
1DMpWCtmW7MvAYsbrGUvrzr1dzLUhkA59k,17A7ho2oK3zMREXV5bgPvfJWdDJFFmTUgg,900000000,20000000
1LjMDHMDsGZeEKq2ECoTJma4Uzy8Wg9pgR,17oafaj22ZppV1ERRVuQYFNT5mbz82maoZ,569140000,5000000
183KrbGAnCx7vD61GUxqSHTmq1fJWePqih,1G4SBBsY1594hcQKWZiCbvJuhbuc52B4r2,1028000000,1000000000
1FejqWd7yWWt5FGHifkyd6xq6vNCL9bBQA,1G4SBBsY1594hcQKWZiCbvJuhbuc52B4r2,866000000,6500000000
183KrbGAnCx7vD61GUxqSHTmq1fJWePqih,1CW6U22GJfM2dXPMKGBKt5tDYYv6rzEF83,1038000000,28000000
1E1zpAo4FnzHzWgaiBX2S2RsfNUf9VjK5E,1Amzfwqew39eCm77QSRJDLVYWQrqFzbp3V,6669000000,6663000000
1LWHzGTtoaLVkeVvNXkP5Fe5mBpBUUKKto,1ADopizCmaSrU2tPhN5EM8Fourfe3FGxkF,12000000,1000000
1LJwbBHzWexRMDDX1TbMDh7YKq3DKGQtes,1F2wZqiHAz2CTyKGE5KhRYPiJCjNgyMZ9t,7000000,50000000
1BcU9isw8bYd7ixhZFYq2rNeVBxh5EVVim,12WFtKBsRLtV8p1NwRqe7YwYdi1rjwTZhA,5006000000,5006000000
1EmvdCEzPLStiafRFVgz7vQmuffVe5jkhb,16GHpvfGdAYgy68x6RzGjJwS2j1Zgk7PQr,50000000,42000000
1Amzfwqew39eCm77QSRJDLVYWQrqFzbp3V,1NVZeQdBZDxATy1dtUS4R5kQpdCQXP6vdn,6663000000,6657000000
1E44APZ2MVWwTDUFkFngit8P8EvzWKbJgN,19cESwa2QB41Hen7togb3DhbkMWeqM5KuB,59000000,7000000
1FgCsqysuQBh8bnWVgSTQZ5oBiUtTWv7pZ,1GxKy7GrU5v2BXBL5GDqzDTVdk9mtYcqhe,1729000000,1697000000
14pLUgGwRyhXSbPxdaVL3Y9BTRFqqpor3h,1Eo7av99oYJK1FYxLHB9px6vMo6ZvE6fYD,263000000,160000000
1NJF3G79os6P4iFGkpuBmhp3X9PuZdrjXC,1NT3RisTDVPAkgiENw7H4q4PsDZUz7ThCK,2065000000,101000000
1PkQmdk9gvKCRYsp2sVExZMKAvHyozzhJG,1LVndDxUHXAeH6bQ3j7jdvqmZW31kVLT4z,5000000,1000000
1Eo7av99oYJK1FYxLHB9px6vMo6ZvE6fYD,1E44APZ2MVWwTDUFkFngit8P8EvzWKbJgN,160000000,59000000
1FSHnUZN3GRcBFRyrcXGaVLPnYC6ru1jA2,1Lk63jpC1pxEQjdETxCgy4oJpDpymAPUiP,1964000000,1863000000
1Mj58dMeUcsq2AMTfVuwtarzpCPkAaFkFJ,1MvFRDWnCconG85WPtMFnMkRuenKpPrvDy,1107000002,60000000
1Q1dHNvzV3DbqSvTgVJ5Lmu1U3LNNQtBWt,1FgCsqysuQBh8bnWVgSTQZ5oBiUtTWv7pZ,1762000000,1729000000
1Lk63jpC1pxEQjdETxCgy4oJpDpymAPUiP,1Q1dHNvzV3DbqSvTgVJ5Lmu1U3LNNQtBWt,1863000000,1762000000
19cESwa2QB41Hen7togb3DhbkMWeqM5KuB,1PkQmdk9gvKCRYsp2sVExZMKAvHyozzhJG,7000000,5000000
1QKQ8i4NCxqGgkvyXFkuex9CagZVitqXGu,1LwK8qkRyAWZVTfG7EZd9QyFNBDdtF8zXw,3000000,1000000
14mQZ5sjE7DehrjkfMrWUmRGU17PEckLSR,14Qgu8GSpFrUMn3NJVuiqK96A3ttuUd6Wz,48000000,37000000
1NJZPWnwVXp6CWzVQHR66GWqLWPakeosXQ,16fpChnQc4Dkf7JAGoUbgZH5icopo51mCv,14000000,12000000
16dfiKXb28mWSz9XYUjXL7Y5cpzfqU6aes,1KZm5eJKCV5ExChshfTjSBHJFyTNtytckw,5846000000,1874000000
1A89HESbMyXwVmh4nosepZ6pKrsXL3Fceo,1JCm2j9GvS5WWNFN6ymeSYQRcpfivuFxs2,5161000000,9133000000
14PZ5AjARcicZx9XfppytiVu2uRqHfAmx5,184CQ7agrApMYpnKTzWnsMjV9Wx3raHw7S,5000000000,5000000000
1BF3St7jHSEW38XAbCr9iYSj3G8pLMbx8Y,1H8yiq1nmfTZnqraUPGLBwXUuXq1vtpP6Q,6656000000,9130000000
1F6XQsNkhs5SKpafzZHo2NZcqSbo7k8ExE,1JeHyDpV9mgap1GTdAB7PeU6AtrZbgufoh,8948000000,6474000000
1JquM7W382cje2XtdFwxH4nr97Dq9PUdj5,1PDNUMZqsM8BvEGzvxp93gAYNXdwoA53GK,8000000,4000000
1C6myWE66JXQcd142No7ix1pohEidB38FQ,1Hn2tVHizjyzcXEiJCpvWs5oTuVf7SjdqU,1000000,1000000
1NHzQVTxvcPmwkebRb1qyhYn7me2XqiHoo,1FejqWd7yWWt5FGHifkyd6xq6vNCL9bBQA,304000000,304000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1000000,1000000
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,1E29AKE7Lh1xW4ujHotoT4JVDaDdRPJnWu,1000000,1000000
